1	Italian	application/x-vnd.dw-Paladin	787335371
Git	SCMImportWindow		Git
Git	SCMManager		Git
Git	TemplateWindow		Git
Git unavailable	TemplateWindow		Git non disponibile
Group separator	AsciiWindow	ASCII table description	Separatore di gruppo
Horizontal tab	AsciiWindow	ASCII table description	Tabulazione orizzontale
If checked, a folder for your project will be created in the location entered above.	TemplateWindow		Se selezionato, una cartella per questo progetto verrà creata nel percorso selezionato.
If checked, header files are not automatically added to projects.	PrefsWindow		Se selezionato, i file di intestazione (header) non verranno automaticamente aggiunti ai progetti.
Ignore case	FindWindow		Ignora Maiuscole/minuscole
Import	SCMImportWindow		Importa
Import a project from an online repository	StartWindow		Importa un progetto da un repository online
Import a project from online	StartWindow		Importa progetto da risorsa online
Import an existing project	StartWindow		Importa progetto esistente
Import from online	SCMImportWindow		Importa da risorsa online
Import from repository	SCMImportWindow		Importa da repository
Include paths:	ProjectSettingsWindow		Percorsi di inclusione:
Keep	Project		Tieni
Libraries: 	LibWindow		Librerie:
License:	LicenseManager		Licenza:
Linking	ProjectWindow		Linking
Linking\n	Paladin		Link in corso\n
Location:	TemplateWindow		Percorso:
luare based replace all has been removed until it can be migrated from Lua	FindWindow		Il modulo di sostituzione 'luare' è stato rimosso in attesa di poterlo migrare da Lua
Make project	ProjectWindow		Make del progetto
Match whole word	FindWindow		Solo parole intere
Matched text:	VRegWindow		Corrispondenza testo:
Mercurial	PrefsWindow		Mercurial
Mercurial	SCMImportWindow		Mercurial
Mercurial	SCMManager		Mercurial
Mercurial	TemplateWindow		Mercurial
Mercurial unavailable	TemplateWindow		Mercurial non disponibile
Method:	SCMImportWindow		Metodo:
Methods	SCMImportWindow		Metodi
Module files	CodeLibWindow		File del modulo
Modules	CodeLibWindow		Moduli
Monitor	MonitorWindow		Monitor
More	ProjectSettingsWindow		Molte
Negative acknowledge	AsciiWindow	ASCII table description	Riconoscimento negativo
New file name: 	AddNewFileWindow		Nuovo file:
New group	ProjectList		Nuovo gruppo
New group	ProjectWindow		Nuovo gruppo
New group name: 	GroupRenameWindow		Nuovo nome gruppo:
New line	AsciiWindow	ASCII table description	Avanzamento di linea
New name: 	AddNewFileWindow		Nuovo nome:
New project…	ProjectWindow		Nuovo progetto…
No	Paladin		No
No matches found	FindWindow		Nessuna corrispondenza trovata
None	PrefsWindow		Nessuno
None	ProjectSettingsWindow		Nessuna
None	SCMManager		Nessuno
None	TemplateWindow		Nessuno
NULL	AsciiWindow	ASCII table description	NULLO
NULL pointer in M_BUILDING_FILE\n	Paladin		puntatore a NULL in M_BUILDING_FILE\n
OK	FileUtils		OK
OK	FindWindow		OK
OK	GetTextWindow		OK
OK	Globals		OK
OK	PathBox		OK
OK	Project		OK
OK	ProjectWindow		OK
Omit header files from projects	PrefsWindow		Ometti file di intestazione dai progetti
Online import requires Mercurial, Git, and/or Subversion to be installed, but Paladin can't find them, sorry.	StartWindow		L'importazione da risorsa online richiede Mercurial, Git e/o Subversion, ma Paladin non è stato in grado di trovarli sul sistema corrente. Desolato!
Open	FindOpenFileWindow		Apri
Open a project	StartWindow		Apri un progetto
Open a project in the list on the right. You can also press Command + a number key.	StartWindow		Apri un progetto tra quelli nella lista a destra. Puoi anche utilizzare la scorciatoia di tastiera Comando + un tasto numerico.
Open parent folder	ProjectList		Apri livello superiore
Open project	StartWindow		Apri progetto
Open project…	ProjectWindow		Apri progetto…
Open recent project	ProjectWindow		Apri progetto recente
Open the selected project	StartWindow		Apri il progetto selezionato
Open: 	FindOpenFileWindow		Apri:
Opening project...	ProjectWindow		Apertura progetto...
Optimization	ProjectSettingsWindow		Ottimizzazioni
Optimize for size over speed	ProjectSettingsWindow		Ottimizza per dimensioni rispetto a velocità
Optimize:	ProjectSettingsWindow		Ottimizzazioni codice:
Options	FindWindow		Opzioni
Overwrite	Globals		Sovrascrivi
Paladin	System name		Paladin
Paladin can't seem to find the debugger. Sorry.	ProjectBuilder		Paladin non trova il debugger. Desolato!
Paladin project	FileUtils		Progetto Paladin
Paladin settings	PrefsWindow		Impostazioni di Paladin
Paladin: 	StartWindow		Paladin: 
Paladin: Change description	ProjectWindow		Paladin: Cambia descrizione
Paladin: Open project	Paladin		Paladin: Apri progetto
Paladin: Project	ProjectWindow		Paladin: Progetto
Paladin: Start	StartWindow		Paladin: Avvio
Performing post-build tasks	ProjectWindow		Operazioni post-build in corso
Preferred source control:	PrefsWindow		Versionamento del codice preferito:
Printing debug output with extra detail\n	Paladin		Mostra output per il debug con maggiori dettagli\n
Printing debug output\n	Paladin		Mostra output per il debug\n
Program settings…	ProjectWindow		Impostazioni…
Project	FindWindow		Progetto
Project	ProjectWindow		Progetto
Project file '%projectname%.pld' already exists. The original file for this template is '%pldname%'. You'll need to open the project folder and figure out which one you wish to keep.	Paladin		Il file di progetto '%projectname%.pld' esiste già. Il file originale per questo modello è  '%pldname%'. Devi aprire la cartella di progetto e valutare quale dei due desideri tenere.
Project name:	TemplateWindow		Nome progetto:
Project opened.	ProjectWindow		Progetto aperto.
Project settings	ProjectSettingsWindow		Impostazioni di progetto
Project status	ProjectWindow		Stato progetto
Project type	TemplateWindow		Project type
Project type: 	TemplateWindow		Tipo progetto:
Project:	SCMImportWindow		Progetto:
Projects	CodeLibWindow		Progetti
Projects folder:	PrefsWindow		Cartella dei progetti:
Provider:	SCMImportWindow		Provider:
Providers	SCMImportWindow		Provider
Pull	ProjectWindow		Pull
Pull changes from remote repository	ProjectWindow		Recupera file aggiornati dal repository remoto
Push	ProjectWindow		Push
Push changes to remote repository	ProjectWindow		Carica file aggiornati sul repository remoto.
Quick find	ProjectWindow		Quick find
Quick find	QuickFindWindow		Quick find
Quick find and open…	ProjectWindow		Quick find and open…
Quickly make a project by importing all source files and resource files.\nYou can also import a BeIDE project.	StartWindow		Crea velocemente un progetto importando file sorgenti e risorse.\nPuoi anche importare un progetto da BeIDE.
Rebuild	ProjectWindow		Rebuild
Recent projects:	StartWindow		Progetti recenti:
Record separator	AsciiWindow	ASCII table description	Separatore di record
Regex:	VRegWindow		Espressione regolare:
Regular expression	FindWindow		Espressione regolare
Regular expression tester	ProjectWindow		Tester di espressioni regolari
Regular expression tester	VRegWindow		Tester di espressioni regolari
Remove	CodeLibWindow		Rimuovi
Remove	Project		Rimuovi
Remove files from module	CodeLibWindow		Rimuovi file dal modulo
Remove from recent list	StartWindow		Rimuovi dalla lista dei progetti recenti
Remove from repository	ProjectWindow		Rimuovi dal repository
Remove selected files	ProjectList		Rimuovi i file selezionati
Remove selected files	ProjectWindow		Rimuovi i file selezionati
Remove selected files from repository	ProjectList		Rimuovi i file selezionati dal repository
Remove Selected files from repository	ProjectWindow		Rimuovi i file selezionati dal repository
Remove the selected path	ProjectSettingsWindow		Rimuovi il percorso selezionato
Rename	GroupRenameWindow		Rinomina
Rename file	AddNewFileWindow		Rinomina file
Rename group	GroupRenameWindow		Rinomina gruppo
Rename group	ProjectWindow		Rinomina gruppo
Rename group…	ProjectList		Rinomina gruppo…
Rename partner file	AddNewFileWindow		Rinomina file partner
Replace	FindWindow		Sostituisci
Replace all	FindWindow		Sosctituisci tutti
Replacing it with %path%.	Project		Sostituisci con %path%.
Repository owner:	SCMImportWindow		Proprietario repository:
Results:	FindWindow		Risultati ricerca:
Revert	ProjectWindow		Ripristina
Revert project	ProjectWindow		Ripristina progetto
Revert selected files	ProjectList		Ripristina file selezionati
Revert selected files	ProjectWindow		Ripristina i file selezionati
Run	ProjectWindow		Esegui
Run arguments	RunArgsWindow		Run arguments
Run logged	ProjectWindow		Esegui con registro
Scanning libraries…	LibWindow		Analisi librerie in corso…
Search	FindWindow		Cerca
Search only system folders	FindOpenFileWindow		Cerca solo nelle cartelle di sistema
Searching for file matching: %s\n	QuickFindWindow		Searching for file matching: %s\n
Selected project:	CodeLibWindow		Progetto selezionato:
Set license	LicenseManager		Imposta licenza
Set run arguments…	ProjectWindow		Imposta argomenti per l'esecuzione…
Set software license…	ProjectWindow		Imposta licenza…
Set the location for your project.	TemplateWindow		Scegli il percorso per il progetto.
Sets the location for project backups	PrefsWindow		Scegli un percorso per i backup dei progetti
Sets the location for the 'server' side of local Subversion repositories.	PrefsWindow		Scegli un percorso per il lato server dei repository locali Subversion
Settings…	ProjectWindow		Impostazioni…
Shared library	ProjectSettingsWindow		Libreria condivisa
Shift in	AsciiWindow	ASCII table description	Shift in
Shift out	AsciiWindow	ASCII table description	Shift out
Show changed files from last check-in	ProjectWindow		Mostra i file aggiornati dall'ultimo check-in
Show changes in selected files	ProjectList		Mostra cambiamenti nei file selezionati
Show differences	ProjectWindow		Mostra differenze
Show differences from last check-in	ProjectWindow		Mostra differenze dall'ultimo check-in
Show project folder	ProjectWindow		Mostra cartella di progetta
Show project folder on open	PrefsWindow		Mostra la cartella di progetto all'avvio
Some	ProjectSettingsWindow		Alcune
Sort group	ProjectList		Ordina gruppo
Sort group	ProjectWindow		Ordina gruppo
Source control	PrefsWindow		Versionamento del codice
Source Control	ProjectList		Versionamento del codice
Source control	ProjectWindow		Versionamento del codice
Source control repository folder:	PrefsWindow		Cartella del repository per il versionamento del codice:
Source control: 	TemplateWindow		Versionamento del codice:
Space	AsciiWindow	ASCII table description	Spazio
Standard Error	ProjectWindow		Standard Error
Standard Out	ProjectWindow		Standard Out
Start of heading	AsciiWindow	ASCII table description	Inizio intestazione
Start of text	AsciiWindow	ASCII table description	Inizio testo
Static library	ProjectSettingsWindow		Libreria statica
Substitute	AsciiWindow	ASCII table description	Fine file
Subversion	PrefsWindow		Subversion
Subversion	SCMImportWindow		Subversion
Subversion	SCMManager		Subversion
Subversion	TemplateWindow		Subversion
Subversion unavailable	TemplateWindow		Subversion non disponibile
Success\n	Paladin		Operazione completata con successo\n
Summary:	LicenseManager		Sintesi:
Symbol finder	ProjectWindow		Cerca simbolo
Synchronous idle	AsciiWindow	ASCII table description	Sincronismo inattivo
System Develop libraries:	LibWindow		System Develop libraries:
System libraries:	LibWindow		Librerie di sistema:
Target name:	ProjectSettingsWindow		Nome target:
Target name:	TemplateWindow		Nome target:
Target type	ProjectSettingsWindow		Tipo target
Target type:	ProjectSettingsWindow		Tipo target:
Terminal output	TerminalWindow		Finestra terminale
The default path for new projects.	PrefsWindow		Il percorso predefinito per i nuovi progetti
The folders you want Paladin to search for header files	ProjectSettingsWindow		Le cartelle da cui vuoi che Paladin ricerchi i file di intestazione (header)
The following files had problems replacing the search terms:\n	FindWindow		Non è stato possibile sostituire i termini di ricerca nei seguenti file:\n
The kind of program you want to build	ProjectSettingsWindow		Il tipo di programma che intendi sviluppare
The location entered does not exist.\nPlease check to make sure you have entered it correctly.	PathBox		Il percorso specificato non esistw.\nPer favore, verifica di averlo inserito correttamente.
The name of the compiled application or library	TemplateWindow		Il nome dell'applicazione o della libreria, una volta compilate
The name of your project. It can be the same as the Target name, but it does not have to be.	TemplateWindow		Il nome del progetto. Può coincidere con il nome target, ma non è obbligatorio che lo sia.
The project cannot be built because some of its files are missing.	ProjectWindow		Impossibile procedere con il build di progetto poiché alcuni file sono mancanti.
These files (except libraries) will be permanently deleted. Remove them?	CodeLibWindow		Questi file (escluse le librerie) saranno rimossi permanentemente. Desideri continuare?
This cannot be undone. Delete module?	CodeLibWindow		Questa operazione non può essere annullata. Rimuovere il modulo?
This project is not under source control. Would you like to use %sourcecontrol% for this project?\nYou will only be asked this one time.	Paladin		Questo progetto non è sotto versionamento del codice. Vorresti usare %sourcecontrol% per questo progetto?\nTi verrà richiesto solo una volta.
This project is on a read-only disk. You will not be able to build it, but you can still view its files and do anything else that does not require saving to the disk.	Paladin		Questo progetto è su un disco in sola lettura. Non ti sarà possibile procedere con i build, ma puoi visionarlo e compiere tutte le operazioni su di esso che non implicano la scrittura su disco.
This will undo all changes since the last commit. Continue?	ProjectWindow		Questa operazione annullerà tutti i cambiamenti dall'ultimo commit. Continuare?
Tools	ProjectWindow		Strumenti
Type to search	QuickFindWindow		Type to search
Unable to pull from the remote repository. If it uses a secure connection, please set up the appropriate SSH keys on the remote server.	ProjectWindow		Impossibile recuperare le modifiche dal repository remoto. Se utilizza una connessione sicura, accertati di aver impostato le chiavi SSH appropriate sul server remoto.
unavailable	PrefsWindow		non disponibile
Unit separator	AsciiWindow	ASCII table description	Separatore di unità
Unknown	SCMManager		Sconosciuto
Update dependencies	ProjectWindow		Aggiorna dipendenze
Updating dependencies	ProjectWindow		Aggiornamento dipendenze in corso
Updating resources	ProjectWindow		Aggiornamento risorse
Updating resources\n	Paladin		Aggiornamento risorse\n
Usage: Paladin [-b] [-m] [-r] [-s] [-d] [-v] [file1 [file2 ...]]\n-b, Build the specified project. Only one file can be specified with this switch.\n-m, Generate a makefile for the specified project.\n-r, Completely rebuild the project.\n-s, Use only one thread for building.\n-d, Print debugging output.\n-v, Make debugging mode verbose.\n	Paladin		Uso: Paladin [-b] [-m] [-r] [-s] [-d] [-v] [file1 [file2 ...]]\n-b, Procede con il build del progetto specificato. Solo un file può essere specificato in questo modo.\n-m, Genera un makefile per il progetto specificato.\n-r, Effettua un rebuild completo del progetto.\n-s, Use only one thread for building.\n-d, Print debugging output.\n-v, Rende i messaggi di debug più dettagliati.\n
Use ccache to build faster	PrefsWindow		Usa ccache per velocizzare i build
Use fastdep dependency checker	PrefsWindow		Usa fastdep per verificare le dipendenze
Use single thread	PrefsWindow		Usa un singolo thread
Use the fastdep dependency checker instead of gcc	PrefsWindow		Usa fastdep per il controllo delle dipendenze invece di gcc
User libraries:	LibWindow		Librerie utente:
Username:	SCMImportWindow		Nome utente:
Vertical tab	AsciiWindow	ASCII table description	Tabulazione verticale
Warnings	ErrorWindow		Avvertimenti:
When checked, a project's folder is shown in Tracker when it is opened.	PrefsWindow		Se selezionato, la cartella di progetto è mostrata sul Tracker all'apertura.
Yes	Paladin		Si
Your project does not have debugging information compiled in and will need to be rebuilt to debug. Do you wish to rebuild and run the debugger?	ProjectWindow		Il tuo progetto non è stato compilato con le informazioni di debugging e necessita di un rebuild per poter essere debuggato. Desideri procedere con il rebuild ed eseguire il debugger?
